Name,Predicted dHm / kJ mol-1,dGc / kJ mol-1,dGc error ±,CAS,SMILES
IO-4Cl,52.47128,-11.80604,1.11738,unkown,O=C1C2=C(C=C(Cl)C(Cl)=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C(C=C(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C9SC%10=C8SC(/C=C%11C(C(C=C(Cl)C(Cl)=C%12)=C%12C\%11=O)=O)=C%10)C9=C%13)=C%13C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=O
IDT-2Br,50.24393,-11.30489,1.11738,2042521-91-3,O=C1/C(SC(N1CC)=S)=C/C(C2=NSN=C23)=CC=C3C(S4)=CC5=C4C6=CC(C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9=C%10SC(C%11=CC=C(/C=C(SC(N%12CC)=S)/C%12=O)C%13=NSN=C%13%11)=C9)=C%10C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15
BTP-4F-12,50.12549,-11.27823,1.11738,2389125-23-7,O=C(C1=CC(F)=C(F)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCCCC)CCCC)=C(S4)C6=C5C(N(CC(CCCCCC)CCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(F)C(F)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12
IT-Th,49.73821,-11.1911,1.11738,1889344-13-1,O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C(C=C(C(C6=CC=C(CCCCCC)S6)(C7=CC=C(CCCCCC)S7)C8=C9SC%10=C8SC(/C=C%11\C(C(C=CC=C%12)=C%12C%11=O)=C(C#N)/C#N)=C%10)C9=C%13)=C%13C5(C%14=CC=C(CCCCCC)S%14)C%15=CC=C(CCCCCC)S%15)=C(C#N)/C#N
IT-2M,49.48174,-11.13339,1.11738,2047352-92-9,CC1=C(C)C=C(C2=O)C(C(/C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11/C(C(C=C(C)C(C)=C%12)=C%12C%11=O)=C(C#N)\C#N)=C9)C%10C%13(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%13=C8)=C(C#N)/C#N)=C1
ZY-4Cl,48.89335,-11.001,1.11738,2703920-28-7,O=C(C1=CC(Cl)=C(Cl)C=C1C/2=O)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCCCC)CCCC)=C(S4)C6=C5C(N(CC(CCCCCC)CCCC)C7=C8SC9=C7SC(/C=C%10C(C(C=C(Cl)C(Cl)=C%11)=C%11C/%10=O)=O)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12
6TIC,48.4095,-10.89214,1.11738,2244414-53-5,O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C(C=C(SC6=C7SC8=C6C(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C8SC%12=C%11SC(/C=C(C(C%13=C%14C=CC=C%13)=O)/C%14=C(C#N)\C#N)=C%12)C7=C%15)=C%15C5(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)=C(C#N)/C#N
NFA1800,47.56081,-10.70118,1.11738,unkown,CCC(CCCC)CN1C2=C(SC3=C2SC(C4=C(OC(CCCC)CC)C=C(C(C(C5=C/6C=CC=C5)=O)=CC6=C(C#N)\C#N)S4)=C3CCCCCCCCCCC)C7=C1C(N(CC(CCCC)CC)C8=C9SC%10=C8SC(C%11=C(OC(CCCC)CC)C=C(C(C(C%12=C/%13C=CC=C%12)=O)=CC%13=C(C#N)\C#N)S%11)=C%10CCCCCCCCCCC)=C9C%14=NSN=C7%14
o-IDTBR,46.13188,-10.37967,1.11738,2077945-91-4,O=C(N(CC)C(S/1)=S)C1=C\C(C2=NSN=C23)=CC=C3C4=CC(C5(CCCCCCCC)CCCCCCCC)=C(S4)C6=C5C=C(C(SC(C7=CC=C(/C=C(SC(N8CC)=S)/C8=O)C9=NSN=C97)=C%10)=C%10C%11(CCCCCCCC)CCCCCCCC)C%11=C6
IT-M,45.08418,-10.14394,1.11738,2047352-80-5,O=C1C2=C(C=C(C)C=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C(C=C(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C9SC%10=C8SC(/C=C%11\C(C(C=CC(C)=C%12)=C%12C%11=O)=C(C#N)/C#N)=C%10)C9=C%13)=C%13C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)/C#N
IT-4f,45.05835,-10.13813,1.11738,2097998-59-7,O=C1C2=C(C=C(F)C(F)=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C(C=C(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C9SC%10=C8SC(/C=C%11/C(C(C=C(F)C(F)=C%12)=C%12C%11=O)=C(C#N)\C#N)=C%10)C9=C%13)=C%13C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)/C#N
BTP-4Cl-12,43.84245,-9.86455,1.11738,2447642-41-1,O=C(C1=CC(Cl)=C(Cl)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCC)CCCC)=C(S4)C6=C5C(N(CC(CCCC)CCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(Cl)C(Cl)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12
ITIC,43.35128,-9.75404,1.11738,1664293-06-4,O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C(C=C(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C9SC%10=C8SC(/C=C%11\C(C(C=CC=C%12)=C%12C%11=O)=C(C#N)/C#N)=C%10)C9=C%13)=C%13C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)/C#N
BTP-4Cl-8,43.02016,-9.67954,1.11738,2414918-25-3,O=C(C1=CC(Cl)=C(Cl)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CC)CCCCCC)=C(S4)C6=C5C(N(CC(CC)CCCCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(Cl)C(Cl)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12
N3-Y6N3,43.00161,-9.67536,1.11738,unkown,O=C(C1=CC(F)=C(F)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CCC(CC)CCCC)=C(S4)C6=C5C(N(CCC(CC)CCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(F)C(F)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12
