AvgIpc,BertzCT,Chi4n,Kappa3
2.5083432320697017,518.0619248819434,2.5138172947757966,2.5790807095808668
2.317470843368197,335.86047310754515,1.9499994373483047,1.3880608181904175
2.179308229443294,307.5684995540784,1.4297527286457363,2.325755852470262
2.1442425959000504,311.73131572503644,1.093285581834322,4.219731367635919
2.014254488755748,154.3418021567622,1.501776078029661,1.5969026176247794
2.4248844093082007,435.8121971255881,2.884542145192198,3.155871781228404
2.5840836386851525,694.8779897536323,2.30549723642256,2.207528872522682
1.816536475806586,303.6056187059636,1.4031932096297446,1.471139489419468
2.523283145790698,573.9273121140942,3.014779406988768,1.6235283179539637
2.936750963915989,383.89675633715,2.274922046145886,8.430181349836777
2.8845410512247427,734.0836113882948,7.16386711109844,2.095427165272189
3.3122506286519555,585.8678491547544,3.195430632288208,8.41396000900616
2.0425290252257486,185.16749419417292,0.7874372297358482,1.2095233527616809
2.299683724818597,476.90444323266246,1.3903819925630287,2.156140605737422
2.2000990748542533,397.7962278379978,1.7501955987545,1.557550311929948
3.096839390545216,312.15640006923104,3.518611245019581,39.79538708683346
1.946039781962856,51.84847143196431,0.2142857142857142,1.838883155307575
2.4231059252326688,615.5770288071316,1.7698728616155308,3.2624080951290786
2.150984741772925,272.7433477087453,0.723782839349375,4.207696280991735
2.390294470394458,724.3026812874944,1.512243934426012,3.0376540495529505
2.721261968244213,852.7145878228725,1.96412753582161,7.396
2.160174802183695,553.2957081415926,1.211043642316972,1.2647844389606624
3.214290635371241,1844.232906471872,7.590772634449886,26.26559838034798
3.316446971568869,1032.0529522380773,3.783759496689471,5.3761745071749605
2.4650842550136,463.0315151832007,1.749081113217076,2.509130515662399
2.0456060352867365,307.8590974511937,0.6873404477516165,1.553738016754164
3.033559459933484,825.2439471833667,4.712021514075525,3.925173476821331
2.8277866334009025,808.5794718138922,2.9056302257177875,8.863843257263682
3.4127952780506163,997.8774920510698,3.5175005199895164,9.673429018927926
1.8005768964064195,80.98533616859814,0.7260075515613057,7.470000000000003
2.618178462054606,472.3621536893595,3.3173803668566038,6.179504288112778
2.618178462054606,472.3621536893595,3.3173803668566038,6.179504288112778
2.756935567914876,545.7696078462164,6.330361120089666,1.7083866703268475
1.3787834934861756,40.1577218810798,0.0,3.429999999999999
2.191128092582601,216.36161893476807,3.063728127432808,1.8531215687247775
1.6774212838293645,38.0,0.2499999999999999,2.6666666666666665
1.3485878960124225,21.219280948873624,0.5773502691896257,4.0
2.1536132174589144,311.4466725353074,0.8825350374108898,2.987277016152849
1.9671544718900456,64.43856189774723,1.0690052204847231,7.739999999999999
3.1002407345825738,799.8291271449237,3.3696996189504675,6.347256538100704
3.2283988007553504,1962.221433922628,5.025580396421815,6.364198552482752
2.494987991280972,603.3499603626851,1.562049498838784,3.1082680880289044
2.549278960006048,442.59916570517765,2.1289885757249354,0.8753848498704466
3.543454452857038,1566.6893250864025,12.358983141055797,9.895063691650227
2.043773535193234,304.683190204761,0.7525050229540186,1.570828975916622
2.455832003752513,561.6530237837436,2.1001287678132154,2.6891443392169125
2.29524117084048,582.2821705947141,2.099056312386649,2.1822969500352145
2.922449064637681,833.9150684026695,1.98408147238662,2.0321739667061918
1.9034911933164036,145.73281445033504,0.5670976518131656,1.3382187267509833
2.651581214600549,969.6080378737664,2.3753709837726564,4.38788909307867
2.275963065714923,304.92792319636925,1.1722798129545553,3.222423285568432
3.0876165198947456,1187.5764542086654,8.584995247874591,9.37792232192957
3.0876165198947456,1187.5764542086656,8.584995247874586,9.37792232192957
2.3508342879955046,592.636916840488,1.3867159949182009,2.5487877688606058
2.549278960006048,442.59916570517765,2.094124805594965,0.9915767374495998
0.7219280948873623,11.245112497836532,0.1443375672974064,0.115188246097337
